	er-cv	erytrocyty	hemoglobin	ast	ssn	smoker	relationship	leukocyty	alp	etytr	alt	hbver	indicator	hematokrit	name	weight	trombocyty
0	48.75685	3.17375	5.93714	52.44937	657-62-2346	no	single	5.11546	86.31372	7.55163	10.39680	5.82875	1.00000	5.64117	Alison Thompson	72.15531	4.99539
1	22.82335	5.90022	6.55414	36.20117	463-36-9191	N	separated	4.98394	83.49326	6.92867	16.43014	8.42791	1.00000	4.33650	Carmen Higgins	38.76050	3.82481
2	20.12759	5.15856	4.94360	32.25896	505-58-7018	Y	divoced	8.58420	60.37220	6.17650	5.62977	5.94780	1.00000	4.00830	Stephanie Andrews DVM	95.29247	6.44727
3	34.55624	6.42169	4.05995	69.52335	618-60-3242	no	divoced	6.70002	22.64585	6.85354	9.85203	5.99222	0.00000	3.70124	Jennifer Aguilar	-2.31171	5.23649
4	42.29078	4.60914	4.72180	43.35664	098-02-6555	no	married	6.00586	47.02428	7.81689	13.17139	4.73394	1.00000	5.42049	Jill Anderson	59.44001	3.52722
5	73.38760	4.56003	4.73047	57.93244	344-42-4236	yes	widowed	4.72977	51.60699	8.55153	10.18121	5.87458	0.00000	3.30642	James Sanders	63.32580	5.97067
6	57.05719	5.33225	6.36439	53.86041	855-40-5750	yes	single	7.96228	94.09983	8.23900	16.07810	7.26316	1.00000	5.88611	Megan Harris	74.86324	4.51580
7	35.34631	6.41527	5.19056	62.51268	160-74-3562	Y	married	5.69974	69.58160	6.75011	10.29156	5.54212	0.00000	4.73423	Donald Barber	116.62581	6.27717
8	40.89585	4.67655	9.59444	49.28995	438-59-4602	yes	single	5.89845	8.77709	8.96542	14.18162	6.29183	1.00000	6.10306	Philip Butler	-12.65113	1.27618
9	54.59081	5.73396	4.75382	35.84311	111-72-6943	Y	married	4.59995	57.01259	7.30656	14.06717	5.26992	1.00000	4.91622	Derek Moreno	24.98291	3.75387
10	38.98592	5.48448	3.91796	67.46141	272-22-9235	yes	widowed	4.85026	13.81060	7.95185	15.91447	5.87762	0.00000	5.69556	Janet Hays	96.36502	6.69793
11	59.11624	6.78539	5.33587	47.00265	887-12-4955	no	married	5.74120	65.40297	6.80141	11.77760	3.70939	1.00000	5.42904	Mia Lopez	81.89343	3.67335
12	71.13689	7.17299	7.46576	76.04689	739-07-7508	yes	nop	4.62339	64.24701	8.99886	17.26938	6.32116	1.00000	4.78562	Rebecca Brown	68.72087	3.49231
13	66.97150	5.34859	7.63986	50.28903	511-54-2824	no	divoced	5.16531	53.80594	8.49441	9.11131	6.69046	1.00000	5.42105	Michael Wyatt	74.90937	3.35635
14	37.74540	5.55231	5.79258	59.41591	693-08-9611	no	nop	2.68221	82.85161	5.90404	9.82527	6.58695	1.00000	5.42407	Bryan Williams	107.27145	5.73748
15	38.60787	4.93745	7.32041	48.80174	878-78-5228	Y	nop	6.85592	66.39840	6.78511	6.56781	5.72288	1.00000	7.24412	Tina Hunter	61.22106	4.08121
16	78.38079	6.25626	4.88973	55.90332	698-83-8379	no	divoced	4.80356	60.75147	7.53283	11.15980	5.58638	1.00000	2.78991	Tony Ball	99.95612	3.97695
17	57.77497	5.78879	3.18215	63.63348	293-29-5090	no	married	5.72176	6.41852	7.74753	11.55036	7.23683	0.00000	5.96747	Crystal Daniels	38.32345	7.41670
18	52.22613	7.89053	4.34612	54.91863	756-33-8906	no	married	6.52387	31.48933	6.89689	22.87536	6.82011	0.00000	5.11378	Allen Boyd	110.95541	4.18461
19	54.56996	4.32269	6.82394	69.74366	202-22-8284	no	single	5.81535	85.57343	6.96115	8.09085	6.52920	1.00000	3.45320	Jesus Gomez	41.77182	4.48533
20	34.71714	4.96625	5.21840	46.48245	433-84-2828	no	widowed	6.26690	69.01467	7.44282	13.71309	5.19992	1.00000	5.57022	Joseph Nunez	14.34766	5.97456
21	42.62017	6.67761	7.26169	45.61718	075-30-8936	no	single	5.16465	62.64037	6.00065	15.87835	7.36490	1.00000	5.87873	Matthew Olsen	13.90645	
22	71.43469	4.88076	4.50389	53.34477	351-65-8832	no	married	6.99694	42.97052	7.87238	12.50757	4.82284	1.00000	4.69213	Erica Porter	49.10543	5.01018
23	26.68410	5.30213	5.37550	40.92203	551-02-5410	no	single	4.53461	75.64312	8.56708	10.69217	5.10304	1.00000	5.97856	Judy Dunn	18.98516	3.86785
24	51.45101	3.38440	5.47289	60.32964	893-17-4723	no	divoced	4.54356	78.95872	5.94934	12.78259	7.55886	0.00000	5.77065	Kendra Wagner	86.68064	4.51807
25	59.12832	6.21405	7.71391	53.51372	896-40-0596	no	widowed	4.88264	53.81414	6.26775	15.91110	5.80050	1.00000	5.62260	Emily Turner	62.20154	3.58345
26	28.18052	3.93449	4.69361	37.07602	009-44-9717	yes	single	7.77891	45.71302	7.31729	6.98544	6.03109	0.00000	6.70006	Derrick Wagner	69.99506	5.22487
27	47.60225	6.08213	8.19320	55.40949	192-28-8822	no	widowed	5.74092	40.03851	7.21824	8.94038	7.26374	0.00000	4.73614	Barbara Chavez	94.40082	6.39889
28	44.51865	5.59008	3.72929	33.00459	693-88-2082	no	married	4.96430	18.13218	6.91708	10.77606	5.51787	1.00000	5.64425	Jennifer Torres DVM	39.75543	6.10620
29	32.34163	6.71458	5.14539	65.47676	026-95-4056	no	divoced	5.24167	66.46528	7.91027	13.78674	3.85920	1.00000	5.45382	Scott Davis	70.94240	2.68107
30	51.63605	6.29288	5.27717	50.98628	531-10-7861	no	widowed	5.32336	70.99403	4.65042	9.96167	6.28513	1.00000	7.51591	Alexis Gonzalez	46.08054	6.33848
31	57.19982	5.62649	3.73791	45.89122	727-26-3892	no	divoced	5.43212	19.59707	7.10130	10.99506	6.52041	0.00000	6.20402	Kenneth Howard	-21.99881	6.24583
32	71.66822	3.01796	4.86126	51.60009	408-37-9916	no	divoced	3.86921	57.72971	5.70750	9.31942	6.78924	1.00000	5.63742	Heather Brown	110.72237	6.56225
33	43.28351	5.74897	4.52874	47.81916	624-31-7702	yes	single	5.33450	44.79662	6.30324	7.11187	6.70150	0.00000	5.76902	Melissa Wheeler	90.42909	6.64949
34	45.57568	4.98021	4.19537	45.68130	600-94-8067	N	divoced	6.73357	27.70209	6.98921	12.28562	6.57023	0.00000	5.52296	Katherine Francis	63.77488	6.93987
35	46.37042	6.23396	3.57698	58.27889	455-01-7915	N	single	7.21146	15.95204	6.28006	15.88457	3.69338	0.00000	5.12784	Lauren Barton	117.48573	5.74088
36	73.09607	6.39833	5.42471	46.16616	080-64-0362	yes	single	4.33187	69.17472	5.53996	10.85018	7.89599	1.00000	6.35066	Lynn Wilson	55.03834	4.51449
37	51.00717	5.16348	5.96650	32.06667	688-69-2175	N	separated	4.77354	77.02635	7.93470	13.09708	5.66675	1.00000	5.56779	Susan Brown	69.27350	4.06079
38	43.47397	7.24412	5.26633	52.38432	673-85-8396	no	divoced	5.52334	70.33535	6.73710	20.76369	4.76717	0.00000	7.01329	Ruben Santos	92.83315	6.16438
39	42.74335	5.95785	4.90296	49.11474	672-37-2357	yes	nop	5.54691	61.66360	6.56025	11.21324	4.87521	1.00000	4.85769	Jacqueline Cooper	73.58842	4.03161
40	42.69219	4.94115	3.24778	58.45788	202-06-3184	yes	divoced	6.22470	5.59647	6.77644	14.24865	3.82608	1.00000	6.88355	Martha Collins	109.10683	4.46505
41	41.34158	6.64969	3.72255	16.47763	622-43-3973	no	married	6.07358	16.81283	7.93209	14.00780	5.87905	0.00000		George Williams	78.40556	7.29408
42	26.80664	6.10133	5.86562	69.19210	414-54-8842	yes	widowed	6.47876	81.24008	6.85107	12.58974	6.74203	1.00000	4.97055	Amber Salas	30.12339	5.21615
43	23.44149	6.97438	4.00478	22.01831	654-39-9529	yes	separated	6.29006	14.62576	4.55650	17.98831	7.49849	0.00000	5.30968	Melanie Richardson	114.63041	6.56332
44	40.16428	5.86931	4.72954	58.50090	304-72-9951	Y	married	6.27806	52.25030	8.86136	14.54525	3.39220	1.00000	5.96502	Sean Smith	-19.47481	3.01697
45	71.22317	5.32621	4.20706	34.89313	481-89-5171	yes	nop	4.47436	31.01983	6.67938	10.08975	3.93519	1.00000	4.87942	Juan Camacho	87.90533	3.18146
46	36.72015	4.09361	2.58240	49.80981	241-75-9403	no	married	5.94578	13.65400	7.14093	11.46063	7.52633	0.00000	4.95147	Nathan Chan	132.59968	1.61998
47	49.64989	6.61440	3.50551	49.37114	341-75-2779	no	married	6.33345	14.89089	7.86441	19.27075	7.72529	0.00000	5.85944	Joel Russell	82.60737	7.97472
48	44.18631	4.32992	5.54965	33.25306	893-17-4723	no	divoced	5.76473	85.68645	6.46556	10.71256	7.94278	1.00000	5.44408	Kendra Wagner	39.42671	5.29183
49	58.72912	7.90745	7.55487	42.17296	456-04-1448	Y	married	4.80356	66.66552	7.55495	26.81912	6.44226	1.00000	4.82533	James Perry	56.16344	3.53626
50	47.94553	3.89255	5.72318	41.84099	417-05-0402	no	widowed	7.01043	79.44366	6.21962	9.97421	6.40054	1.00000	5.12107	Stephanie Mason	52.23688	5.69897
51	61.03832	5.50107	4.35398	54.56164	467-10-6418	no	married	5.03735	37.82498	6.67729	17.82755	7.37299	0.00000	6.31753	Judith Watts	101.74444	3.37512
52	44.82039	5.38247	3.27430	57.27720	444-75-6911	Y	single	6.75879	7.01036	6.52731	12.93220	3.12801	1.00000	8.23917	Vanessa Harrington	49.81188	4.62737
53	52.83862	5.98651	5.76841	66.99926	630-92-6955	no	married	6.96584	81.81983	6.11427	14.08412	6.85681	0.00000	5.70796	Jennifer Garcia	76.78020	6.44376
54	52.03624	5.48547	3.14382	37.72589	429-89-5006	yes	separated	5.99381	8.09428		7.73339	3.46641	1.00000	5.72556	Jennifer Martinez	28.48033	4.57919
