	sex	residence	name	blood_group	birthdate	address	current_location	race	ssn
0	M	"29911 Powers Station Suite 394
West Patrickview, WV 53608"	Steven Taylor	B+	1909-05-14	"93613 Benjamin Tunnel
Villegasville, SC 34600"	(Decimal('10.025954'), Decimal('-35.264519'))	White	729-42-7460
1	M	"510 Carrie Mews
East Carl, NC 17078"	John Mcclure	B+	1980/03/06	"7311 Martinez Circles
Port Sarah, MI 30128"	(Decimal('70.115921'), Decimal('-23.861261'))	White	540-45-4911
2	F	"356 Elizabeth Loop
New Matthew, LA 09445"	Mary Smith	A-	1906-09-08	"2013 Phillips River Suite 197
Keithbury, WI 08563"	(Decimal('-14.5468345'), Decimal('-115.488744'))	Black	627-33-5752
3	M	"6259 Welch Row Suite 764
North Shawn, MD 70700"	Robert Jordan	B-	2020-04-14	"Unit 2428 Box 9732
DPO AE 11513"	(Decimal('-70.3500745'), Decimal('-56.026877'))	Asian	020-26-5442
4	M	"17262 Maxwell Spur
Jasmineton, WA 86533"	Jeremy Simpson	AB+	03 Jul 2013	"1802 Taylor Flat
Priceshire, MD 21881"	(Decimal('-76.6734775'), Decimal('33.382644'))	White	692-78-3089
5	F	"USCGC Reed
FPO AP 49671"	Samantha Carroll	AB-	09/02/2020, 00:00:00	"1770 Miller Estate Suite 319
North Mark, HI 82174"	(Decimal('-32.457586'), Decimal('-84.565283'))	Hawaiian	522-35-3946
6	F	"34351 Malone Pass
Port Amy, MO 83490"	Jamie Hammond	A-	2013-04-18	"56767 Watson Divide Suite 487
North Jeffrey, AL 40540"	(Decimal('8.958652'), Decimal('-152.130256'))	Indian	395-30-4958
7	F	"77791 Kane Pass Suite 791
North Ashley, DC 78101"	Victoria Mcdaniel	B-	28 Jul 1975	"33504 Natasha Ville
South Deniseport, DE 11899"	(Decimal('0.7868645'), Decimal('109.806078'))	Black	132-21-5888
8	F	"637 Sharon Spurs
Hillview, FL 73422"	Sara Joseph	AB+	16 Aug 1929	"25927 Thomas Lane
New Markstad, ND 71438"	(Decimal('-58.618343'), Decimal('-137.960603'))	Black	072-08-6492
9	M	"12536 Latoya Point Apt. 237
Tinaton, ID 54075"	Robert Brown	AB-	1912-05-27	"6029 Shaw Flats Suite 102
North Edwardburgh, ND 91584"	(Decimal('86.461042'), Decimal('163.335299'))	Asian	434-60-0749
10	M	"522 Michael Junctions
Hamiltonport, PA 61746"	Robert Schneider	A-	1951-09-01	"7246 Berg Cliff
Morrisstad, WA 24300"	(Decimal('60.1527615'), Decimal('-90.044784'))	White	516-92-6581
11	M	"073 Victoria Greens
Port Vicki, ND 39505"	Edward Elliott	B-	22 Jun 1994	"5484 Cox Crest
Christopherton, WY 40801"	(Decimal('19.7196915'), Decimal('77.467020'))	White	047-35-2595
12	M	"86208 Abbott Villages
South Maria, DE 84382"	Kevin Edwards	A+	1931/09/14	"233 Costa Curve
West Evelyn, MI 80886"	(Decimal('-84.0988215'), Decimal('-115.283816'))	Black	114-55-5107
13	M	"5051 Willis Village
Port Gerald, ID 73354"	Brandon Clements	A-	1923-07-21	"331 Brown Valleys Suite 873
Hermanbury, MO 51968"	(Decimal('67.3744945'), Decimal('157.082461'))	White	433-24-1825
14	F	"24358 Darryl Trace Suite 844
Johnsonshire, TN 31032"	Laurie Ayers	B-	06/15/1950, 00:00:00	"6374 Brian Port Apt. 095
South Richard, OK 62653"	(Decimal('-11.0169745'), Decimal('128.662108'))	White	372-30-0999
15	M	"8172 Lewis Wall
New Christopher, WA 45954"	Anthony Riley	O-	2014-02-01	"67630 Lori Plaza Apt. 290
Michelleshire, TN 48995"	(Decimal('53.5695215'), Decimal('-20.425438'))	Asian	431-76-3181
16	M	"781 Krystal Locks
Andrewfurt, MN 82713"	Caleb Lang	B-	1953-11-03	"USNV Farmer
FPO AP 17651"	(Decimal('61.228258'), Decimal('-134.915560'))	Indian	610-46-3055
17	F	"PSC 5669, Box 2919
APO AE 73390"	Diane Morales	AB-	1944-08-05	"639 Gray Center Suite 548
Michaelbury, VA 18210"	(Decimal('-46.021702'), Decimal('-120.513977'))	Hawaiian	149-74-6128
18	F	"19447 Rodriguez Crossing
South Donald, MI 67835"	Gail Marsh	B-	1996-01-10	"42029 Rasmussen Plains
South Betty, RI 94228"	(Decimal('-68.8120945'), Decimal('-47.795006'))	Black	169-98-3646
19	M	"5636 Lisa Forges
Wheelershire, MO 51777"	William Alvarado	B-	1931-01-02	"Unit 2530 Box 2455
DPO AP 29191"	(Decimal('7.802989'), Decimal('129.384578'))	Hawaiian	532-22-9437
20	F	"1707 King Bridge
Alvaradoborough, ID 96559"	Mary Olsen	A+	18 Dec 2002	"436 Kelly Inlet
Nicolemouth, UT 07302"	(Decimal('25.962287'), Decimal('-25.689917'))	White	328-19-3120
21	F	"394 David Walks Suite 809
New Nathanielton, WI 65306"	Erika Gomez	B+	26 May 1967	"253 Sanford Ranch Apt. 430
East Colinfort, IL 85939"	(Decimal('26.6228975'), Decimal('8.733754'))	Black	363-94-5890
22	M	"68680 Reilly Pine Suite 422
Heathland, MN 74817"	Jesse Davis	B+	09 Dec 1936	"23739 Brett Lock
Lake Benjamin, NC 76344"	(Decimal('-75.4435665'), Decimal('-118.469843'))	Black	284-88-5601
23	M	"9270 Hardy Common Suite 992
Andersonfurt, CT 28028"	Benjamin Allen	O-	2017/03/09	"501 Murphy Point
South Gary, VA 90094"	(Decimal('19.7323185'), Decimal('-124.292467'))	Hawaiian	595-03-8019
